term,estimate,std_error,t_stat,p_value
Intercept,-123.76985169418953,7.741528888573997,-15.987778832275099,0.0
COE size,0.01343930674589896,0.006955074861747998,1.9323022416068287,0.05847908268388835
Median household income,0.0006338918554095035,8.658250007752768e-05,7.321246843668226,1.1225147478199915e-09
