term,estimate,std_error,t_stat,p_value
Intercept,-1085.7901608264915,83.62911157241632,-12.983399445613882,0.0
Latitude,-13.697225115976916,0.8548796290077267,-16.022402044923584,0.0
Longitude,-12.756998181539158,0.9281948232667899,-13.743879907281523,0.0
